cluster,character_id,character_ids,start,end,duration,num_samples,active_speakers,dominant_share,purity,rank_score,passes_thresholds,overlap_count,speaker_overlaps,frame_path
2569,,[],2435.433,2482.8136666666664,47.38066666666646,0,1,0.6763010317147602,1.0,48.76718619791629,False,2,"{""11"": 32.04359374999967}",../candidates/cluster_2569.jpg
2570,,[],2439.7706666666663,2482.8136666666664,43.04300000000012,0,1,0.658251632088821,1.0,43.62279687499935,False,2,"{""11"": 28.3331249999992}",../candidates/cluster_2570.jpg
4236,,[],4448.110333333333,4491.8206666666665,43.71033333333344,0,1,0.391905565808264,1.0,40.93476406250131,False,0,"{""11"": 17.130322916667865}",../candidates/cluster_4236.jpg
3284,,[],3640.9706666666666,3677.006666666666,36.0359999999996,0,1,0.4921640859140984,1.0,37.541306250000055,False,0,"{""13"": 17.735625000000255}",../candidates/cluster_3284.jpg
2568,,[],2434.432,2482.8136666666664,48.38166666666666,0,2,0.6626993695959026,0.9752601406617867,35.85914216803608,False,2,"{""22"": 0.8133437500000582, ""11"": 32.06249999999909}",../candidates/cluster_2568.jpg
320,,[],601.601,641.9746666666666,40.37366666666662,0,1,0.2516182164942512,1.0,28.966238636363666,False,1,"{""7"": 10.158750000000055}",../candidates/cluster_320.jpg
2615,,[],2494.4919999999997,2528.526,34.034000000000106,0,2,0.5325189516365628,0.8286480531857413,24.20946840925167,False,0,"{""11"": 3.7477187499994216, ""25"": 18.123749999998836}",../candidates/cluster_2615.jpg
2567,,[],2404.402,2434.0983333333334,29.696333333333314,0,3,0.4892649485346142,0.8092105263157968,15.837041618292176,False,0,"{""12"": 14.529375000000073, ""3"": 2.1599999999998545, ""10"": 1.265625}",../candidates/cluster_2567.jpg
870,,[],1129.4616666666666,1168.5006666666666,39.03899999999999,0,3,0.4014716586832005,0.5873026467814555,15.75615795237758,False,0,"{""11"": 15.67305208333346, ""7"": 8.47125000000051, ""13"": 2.5421979166662823}",../candidates/cluster_870.jpg
2528,,[],2203.201,2246.911333333333,43.71033333333298,0,3,0.31927519045839,0.6693830238501973,15.675707107991872,False,1,"{""7"": 4.7834895833316295, ""11"": 13.9556249999996, ""9"": 2.109375}",../candidates/cluster_2528.jpg
2529,,[],2205.203,2246.911333333333,41.70833333333303,0,3,0.33460039960039245,0.6923595697235813,15.536926069349445,False,1,"{""11"": 13.9556249999996, ""7"": 4.0916145833321025, ""9"": 2.109375}",../candidates/cluster_2529.jpg
4272,,[],4520.182333333333,4557.886666666666,37.704333333333125,0,3,0.2931526438162754,0.705059203444473,14.83903109895455,False,0,"{""25"": 11.053124999996726, ""11"": 3.1218750000007276, ""2"": 1.5018749999999272}",../candidates/cluster_4272.jpg
4200,,[],4369.698666666666,4439.101333333333,69.40266666666685,0,4,0.6346117824483035,0.8779011099899282,14.81991344621924,False,0,"{""29"": 1.6537499999994907, ""11"": 44.04374999999891, ""9"": 2.8012499999986176, ""4"": 1.6706250000006548}",../candidates/cluster_4200.jpg
2741,,[],2657.6549999999997,2690.354333333333,32.69933333333347,0,2,0.29290320648739,0.6542064785768115,14.106334132330046,False,1,"{""26"": 9.577739583333369, ""7"": 5.0625}",../candidates/cluster_2741.jpg
537,,[],866.5323333333333,897.8969999999999,31.364666666666608,0,3,0.3836123982400481,0.6114922813036001,12.684052971445682,False,0,"{""11"": 12.031874999999673, ""25"": 6.125624999999673, ""22"": 1.518750000000182}",../candidates/cluster_537.jpg
1279,,[],1761.0926666666664,1826.1576666666665,65.06500000000005,0,2,0.20592868669792178,0.8510182207931348,8.775306860134053,False,1,"{""3"": 13.398750000000291, ""10"": 2.3456250000001546}",../candidates/cluster_1279.jpg
4499,,[],5100.762333333333,5169.831333333333,69.0689999999995,0,5,0.35964035964036434,0.8375830552968851,8.423155694198082,False,1,"{""11"": 1.2561354166673482, ""7"": 24.840000000000146, ""20"": 0.7256250000009459, ""8"": 0.84375, ""5"": 1.9912499999991269}",../candidates/cluster_4499.jpg
1281,,[],1766.4313333333332,1821.4863333333333,55.055000000000064,0,2,0.23264235764236182,0.8452115812917533,7.673124226676582,False,1,"{""3"": 12.808125000000246, ""10"": 2.3456250000001546}",../candidates/cluster_1281.jpg
316,,[],598.9316666666666,646.646,47.71433333333334,0,2,0.2129077216489815,0.8998505231689086,6.7337452766328045,False,1,"{""7"": 10.158750000000055, ""9"": 1.130625000000009}",../candidates/cluster_316.jpg
2892,,[],2900.8979999999997,2975.973,75.07500000000027,0,3,0.16520979020977508,0.5526315789473109,6.493827399380327,False,0,"{""3"": 8.910000000001673, ""10"": 12.403124999998909, ""27"": 1.1306249999997817}",../candidates/cluster_2892.jpg
