cluster,character_id,character_ids,start,end,duration,num_samples,active_speakers,dominant_share,purity,rank_score,passes_thresholds,overlap_count,speaker_overlaps,frame_path
4840,,[],4739.067666666666,4815.477333333333,76.40966666666736,0,3,0.4138710634344108,0.9114785992217732,36.8946982311683,False,1,"{""9"": 31.623750000002474, ""25"": 1.6706250000006548, ""16"": 1.4006250000002183}",assets/cluster_4840.jpg
4839,,[],4739.067666666666,4808.804,69.73633333333419,0,3,0.42443800218923383,0.905991735537174,33.92939381509686,False,1,"{""9"": 29.598750000002838, ""25"": 1.6706250000006548, ""16"": 1.4006250000002183}",assets/cluster_4839.jpg
1143,,[],764.0966666666666,831.4973333333332,67.40066666666667,0,3,0.40384429926508986,0.6785864535128355,29.564352997372755,False,0,"{""9"": 27.2193749999999, ""25"": 12.268124999999827, ""8"": 0.6243749999998727}",assets/cluster_1143.jpg
1762,,[],1962.2936666666665,2012.3436666666664,50.049999999999955,0,2,0.37835060772560153,0.5899398312314774,24.844987545250273,False,0,"{""9"": 18.93644791666634, ""25"": 13.162500000000364}",assets/cluster_1762.jpg
2400,,[],2736.0666666666666,2771.4353333333333,35.36866666666674,0,3,0.7011482032118753,0.9110092276748659,24.682790471839247,False,0,"{""26"": 1.899302083334078, ""25"": 24.798677083333132, ""27"": 0.5231250000006185}",assets/cluster_2400.jpg
5316,,[],5673.668,5722.383333333333,48.71533333333355,0,2,0.2549505289230947,0.8793309438469855,23.912458971767414,False,1,"{""25"": 12.419999999998254, ""9"": 1.7043750000011642}",assets/cluster_5316.jpg
5569,,[],6161.488666666666,6198.859333333333,37.37066666666669,0,2,0.40956253567858153,0.845293569431472,23.710720270556756,False,0,"{""26"": 15.305624999999054, ""9"": 2.8012500000004366}",assets/cluster_5569.jpg
5055,,[],5058.053,5118.112999999999,60.05999999999949,0,3,0.29164585414592686,0.6971121558092865,23.43690334512143,False,0,"{""25"": 17.51625000000422, ""9"": 6.969375000000582, ""10"": 0.6412500000005821}",assets/cluster_5055.jpg
1301,,[],1055.0539999999999,1092.091,37.037000000000035,0,2,0.2861327861327819,0.8907801418439832,19.08805941208785,False,1,"{""9"": 10.597499999999854, ""25"": 1.2993749999998272}",assets/cluster_1301.jpg
4660,,[],4430.759666666666,4464.7936666666665,34.03400000000056,0,2,0.3341878709525371,0.8362282878411234,17.88253621826056,False,1,"{""24"": 11.373749999998836, ""9"": 2.227500000000873}",assets/cluster_4660.jpg
1216,,[],972.6383333333333,1017.6833333333333,45.04499999999996,0,3,0.3143106893106779,0.6394817073170661,17.21048872959971,False,0,"{""25"": 14.158124999999472, ""9"": 7.458750000000009, ""7"": 0.5231249999999363}",assets/cluster_1216.jpg
3099,,[],3694.357333333333,3734.397333333333,40.039999999999964,0,3,0.524709665334634,0.6955307262569579,16.83152693339817,False,2,"{""25"": 21.009374999998727, ""14"": 8.640000000000327, ""20"": 0.5568750000002183}",assets/cluster_3099.jpg
1158,,[],861.1936666666666,895.5613333333333,34.367666666666764,0,2,0.3063926364897354,0.7518072289156614,16.353308980028118,False,1,"{""25"": 10.530000000000427, ""9"": 3.4762500000001637}",assets/cluster_1158.jpg
1430,,[],1291.6236666666666,1329.328,37.70433333333335,0,3,0.2631660375023119,0.7414880201765561,14.709636921098804,False,0,"{""9"": 9.922499999999673, ""25"": 2.8856249999996635, ""23"": 0.5737500000000182}",assets/cluster_1430.jpg
4651,,[],4429.091333333333,4469.798666666667,40.707333333333736,0,3,0.27940297407507386,0.7357091985210212,14.675990606532393,False,1,"{""24"": 11.373749999998836, ""9"": 2.227500000000873, ""34"": 1.8583229166679303}",assets/cluster_4651.jpg
4396,,[],4329.992333333333,4367.696666666667,37.704333333334034,0,3,0.3137404630766748,0.5699186991869126,13.516899179019266,False,0,"{""25"": 11.829374999997526, ""9"": 0.7931250000001455, ""24"": 8.133750000000873}",assets/cluster_4396.jpg
1748,,[],1895.8939999999998,1930.5953333333332,34.70133333333342,0,3,0.30441913855374736,0.6394279877425781,13.096780781209056,False,0,"{""9"": 4.050000000000182, ""25"": 10.5637499999998, ""7"": 1.9068750000001273}",assets/cluster_1748.jpg
4819,,[],4640.6359999999995,4677.339333333333,36.70333333333383,0,1,0.1650565343748012,1.0,7.689084375001086,False,0,"{""25"": 6.058125000003201}",assets/cluster_4819.jpg
5317,,[],5673.668,5729.056666666666,55.38866666666672,0,2,0.22423359772754187,0.8316384180790399,7.554030538910121,False,1,"{""25"": 12.419999999998254, ""9"": 2.514375000000655}",assets/cluster_5317.jpg
3436,,[],4057.720333333333,4116.112,58.39166666666688,0,2,0.33523619237906077,0.5370370370370329,7.1523257263998925,False,1,"{""25"": 16.87500000000091, ""9"": 19.575000000000728}",assets/cluster_3436.jpg
